[rosmaster.main][INFO] 2020-11-08 08:00:45,549: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-11-08 08:00:45,549: Starting ROS Master Node
[rosmaster.master][INFO] 2020-11-08 08:18:05,220: -SERVICE [/train_1187_1604823485075/get_loggers] /train_1187_1604823485075 rosrpc://luigi:34049
[rosmaster.master][INFO] 2020-11-08 08:18:05,220: -SERVICE [/train_1187_1604823485075/set_logger_level] /train_1187_1604823485075 rosrpc://luigi:34049
[rosmaster.master][INFO] 2020-11-08 08:18:05,283: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:18:05,284: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:19:45,364: +PUB [/rosout] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,368: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:36163/']
[rosmaster.master][INFO] 2020-11-08 08:19:45,369: +SERVICE [/train_1205_1604823585248/get_loggers] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,369: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ ['http://luigi:36163/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:19:45,370: +SERVICE [/train_1205_1604823585248/set_logger_level] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,373: +SUB [/bev/flow_image] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,375: +SUB [/occupancy_image] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,377: +SUB [/odom] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,379: +SUB [/start_goal] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,380: +PUB [/cmd_vel/train] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,381: +PUB [/train/episode] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,385: -SUB [/bev/flow_image] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,385: -SUB [/occupancy_image] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,386: -SUB [/odom] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,386: -SUB [/start_goal] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,386: -PUB [/rosout] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,386: -PUB [/cmd_vel/train] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,386: -PUB [/train/episode] /train_1205_1604823585248 http://luigi:36163/
[rosmaster.master][INFO] 2020-11-08 08:19:45,386: -SERVICE [/train_1205_1604823585248/get_loggers] /train_1205_1604823585248 rosrpc://luigi:37611
[rosmaster.master][INFO] 2020-11-08 08:19:45,386: -SERVICE [/train_1205_1604823585248/set_logger_level] /train_1205_1604823585248 rosrpc://luigi:37611
[rosmaster.master][INFO] 2020-11-08 08:19:45,453: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []
[rosmaster.master][INFO] 2020-11-08 08:19:45,454: publisherUpdate[/rosout] -> http://192.168.0.191:37499/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-11-08 08:20:31,062: +PUB [/rosout] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,067: +SERVICE [/train_1223_1604823630950/get_loggers] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,068: +SERVICE [/train_1223_1604823630950/set_logger_level] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,070: +SUB [/bev/flow_image] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,072: +SUB [/occupancy_image] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,074: +SUB [/odom] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,076: +SUB [/start_goal] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,077: +PUB [/cmd_vel/train] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,078: +PUB [/train/episode] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -SUB [/bev/flow_image] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -SUB [/occupancy_image] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -SUB [/odom] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -SUB [/start_goal] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -PUB [/rosout] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -PUB [/cmd_vel/train] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -PUB [/train/episode] /train_1223_1604823630950 http://luigi:40553/
[rosmaster.master][INFO] 2020-11-08 08:20:31,082: -SERVICE [/train_1223_1604823630950/get_loggers] /train_1223_1604823630950 rosrpc://luigi:42081
[rosmaster.master][INFO] 2020-11-08 08:20:31,083: -SERVICE [/train_1223_1604823630950/set_logger_level] /train_1223_1604823630950 rosrpc://luigi:42081
